query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_021,1,1,cw_s300_x254883.721_y3364102.517,0.9169302582740784,300.000,254883.72102534556,3364102.5166208195,1515,0.5623762376237624,852,0.5623762376237624,1.88820219039917,1,852059.9731839482,1.0,0.6219805005453864,0.6851039051277708,0.9610623430766625,1,1
q_021,2,14,cw_s200_x254983.721_y3364052.517,0.8322062492370605,200.000,254983.72102534556,3364052.5166208195,972,0.7993827160493827,777,0.7993827160493827,1.7179419994354248,1,777086.214156766,0.27396043498025835,1.0,0.7964600693284231,0.6874602155891572,0,1
q_021,3,7,cw_s300_x255108.721_y3364102.517,0.8782999515533447,300.000,255108.72102534556,3364102.5166208195,1681,0.4408090422367638,741,0.4408090422367638,2.016742706298828,1,741046.4722519398,0.6689588771012213,0.4280838161359078,0.554978007345799,0.700570355247968,0,1
q_021,4,5,cw_s500_x254758.721_y3364127.517,0.8839950561523438,500.000,254758.72102534556,3364127.5166208195,1721,0.37187681580476467,640,0.37187681580476467,2.090402126312256,1,640038.8160476121,0.7177628857027567,0.31813861166212337,0.46327116179489397,0.7150678513580391,1,1
q_021,5,6,cw_s200_x254983.721_y3364202.517,0.881038248538971,200.000,254983.72102534556,3364202.5166208195,741,0.7395411605937922,548,0.7395411605937922,1.9127992391586304,1,548079.4367284261,0.692424621639706,0.9045541919774692,0.6414948798282322,0.7618667765528216,0,1
q_021,6,8,cw_s200_x254833.721_y3364052.517,0.8723554015159607,200.000,254833.72102534556,3364052.5166208195,631,0.6212361331220285,392,0.6212361331220285,2.1468727588653564,1,392066.18910188455,0.6180172541488107,0.715860585098384,0.4848389410492907,0.6381102662890986,0,0
q_021,7,3,cw_s300_x255108.721_y3364327.517,0.9115831255912781,300.000,255108.72102534556,3364327.5166208195,701,0.369472182596291,259,0.369472182596291,2.180602788925171,1,259038.46133729667,0.9541779251094347,0.31430328088181125,0.27682494595689044,0.6977661376179082,1,0
q_021,8,2,cw_s300_x254883.721_y3364327.517,0.9167438745498657,300.000,254883.72102534556,3364327.5166208195,402,0.5422885572139303,218,0.5422885572139303,2.026118516921997,1,218057.6256227766,0.9984027909019865,0.5899411447262076,0.36653449945393857,0.7692818160331578,1,0
q_021,9,15,cw_s200_x254833.721_y3363902.517,0.8199765086174011,200.000,254833.72102534556,3363902.5166208195,401,0.5286783042394015,212,0.5286783042394015,2.0848782062530518,1,212056.06973526007,0.16915808130596233,0.5682331262321196,0.35193145085591454,0.37882210303593367,0,0
q_021,10,11,cw_s200_x254833.721_y3364202.517,0.8370513916015625,200.000,254833.72102534556,3364202.5166208195,409,0.4449877750611247,182,0.4449877750611247,1.9366974830627441,1,182047.01195777368,0.3154807206084411,0.4347487921361955,0.3004205475389169,0.4064446167667266,0,0
q_021,11,4,cw_s200_x254983.721_y3364352.517,0.8953927755355835,200.000,254983.72102534556,3364352.5166208195,215,0.6976744186046512,150,0.6976744186046512,1.999473214149475,1,150074.74471283235,0.8154352611873592,0.8377777690051439,0.42485629261212715,0.73108788004222,1,0
q_021,12,9,cw_s300_x254658.721_y3364102.517,0.8523050546646118,300.000,254658.72102534556,3364102.5166208195,250,0.312,78,0.312,1.6719576120376587,1,78032.64804238795,0.44619647663947615,0.22263656425055167,0.19413587778560085,0.394960117327151,0,0
q_021,13,19,cw_s200_x254683.721_y3364202.517,0.801853358745575,200.000,254683.72102534556,3364202.5166208195,111,0.40540540540540543,45,0.40540540540540543,1.77639901638031,1,45042.81819557821,0.013852353929686024,0.3716158868085536,0.22460578727564662,0.24030441393726237,0,0
q_021,14,12,cw_s200_x254683.721_y3364052.517,0.8357880115509033,200.000,254683.72102534556,3364052.5166208195,98,0.3877551020408163,38,0.3877551020408163,1.7680959701538086,1,38040.884965254336,0.3046542274707706,0.34346408738338313,0.21184761916446163,0.3489702624869852,0,0
q_021,15,13,cw_s200_x254833.721_y3364352.517,0.8352828025817871,200.000,254833.72102534556,3364352.5166208195,54,0.4074074074074074,22,0.4074074074074074,2.1182610988616943,1,22042.696553715952,0.3003248560877316,0.37480903072483446,0.19143067655021306,0.3349883483652205,0,0
q_021,16,16,cw_s200_x254233.721_y3364652.517,0.8136823177337646,200.000,254233.72102534556,3364652.5166208195,29,0.1724137931034483,5,0.1724137931034483,0.0,0,-1.0,0.1152202228022413,0.0,0.09772543305811883,0.10472334895576782,0,0
q_021,17,10,cw_s300_x254883.721_y3365002.517,0.8413999676704407,300.000,254883.72102534556,3365002.5166208195,21,0.19047619047619047,4,0.19047619047619047,0.0,0,-1.0,0.3527456979553476,0.028809079224967834,0.10262939886817082,0.20267591850304154,0,0
q_021,18,17,cw_s500_x254008.721_y3364127.517,0.8076457977294922,500.000,254008.72102534556,3364127.5166208195,15,0.26666666666666666,4,0.26666666666666666,0.0,0,-1.0,0.06349046629107309,0.15033101341028685,0.12430540181051225,0.09997942760273658,0,0
q_021,19,18,cw_s300_x255108.721_y3365002.517,0.8026305437088013,300.000,255108.72102534556,3365002.5166208195,20,0.2,4,0.2,0.0,0,-1.0,0.020512414508195465,0.043999320998132745,0.10533889923596351,0.07140830534485629,0,0
q_021,20,20,cw_s500_x254008.721_y3364502.517,0.8002368807792664,500.000,254008.72102534556,3364502.5166208195,20,0.2,4,0.2,0.0,0,-1.0,0.0,0.043999320998132745,0.10533889923596351,0.0632033395415781,0,0
