query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_200m_01,1,s80_x254656.545_y3365842.637,0.8178371787071228,80,254656.5454075462,3365842.637183411,0
q_200m_01,2,s80_x254615.317_y3364375.530,0.8100005388259888,80,254615.31714087684,3364375.5298480103,0
q_200m_01,3,s120_x254676.545_y3365862.637,0.7986412048339844,120,254676.5454075462,3365862.637183411,0
q_200m_01,4,s80_x254615.317_y3364255.530,0.7980799078941345,80,254615.31714087684,3364255.5298480103,0
q_200m_01,5,s120_x255654.480_y3365670.735,0.7945829629898071,120,255654.479752744,3365670.7347813593,0
q_200m_01,6,s80_x254053.067_y3364768.442,0.7915472984313965,80,254053.06710738334,3364768.4419510043,0
q_200m_01,7,s80_x254615.317_y3364195.530,0.7891245484352112,80,254615.31714087684,3364195.5298480103,0
q_200m_01,8,s80_x254656.545_y3365902.637,0.7866621017456055,80,254656.5454075462,3365902.637183411,0
q_200m_01,9,s120_x254598.610_y3365964.565,0.7864502668380737,120,254598.6099540508,3365964.565271766,0
q_200m_01,10,s120_x254557.293_y3364227.454,0.7851898670196533,120,254557.29280875245,3364227.454095203,0
q_200m_02,1,s120_x254287.293_y3364137.454,0.9047948122024536,120,254287.29280875245,3364137.454095203,0
q_200m_02,2,s120_x254481.063_y3364476.491,0.8973180055618286,120,254481.06292971745,3364476.490741796,0
q_200m_02,3,s80_x254267.293_y3364147.454,0.8932144641876221,80,254267.29280875245,3364147.454095203,0
q_200m_02,4,s120_x254676.545_y3365952.637,0.8897770643234253,120,254676.5454075462,3365952.637183411,0
q_200m_02,5,s120_x254649.058_y3364464.565,0.8891714811325073,120,254649.0576404855,3364464.5652137767,0
q_200m_02,6,s120_x254301.063_y3364476.491,0.8882436752319336,120,254301.06292971745,3364476.490741796,0
q_200m_02,7,s80_x254447.293_y3364387.454,0.8876711130142212,80,254447.29280875245,3364387.454095203,0
q_200m_02,8,s120_x254481.063_y3364926.491,0.8875733613967896,120,254481.06292971745,3364926.490741796,0
q_200m_02,9,s120_x254739.058_y3364464.565,0.885448694229126,120,254739.0576404855,3364464.5652137767,0
q_200m_02,10,s80_x254507.293_y3364207.454,0.8850321769714355,80,254507.29280875245,3364207.454095203,0
q_200m_03,1,s200_x254689.058_y3364504.565,0.92630535364151,200,254689.0576404855,3364504.5652137767,0
q_200m_03,2,s120_x254739.058_y3364464.565,0.9261786341667175,120,254739.0576404855,3364464.5652137767,0
q_200m_03,3,s120_x254739.058_y3364554.565,0.9142845869064331,120,254739.0576404855,3364554.5652137767,0
q_200m_03,4,s200_x254716.545_y3366022.637,0.913527250289917,200,254716.5454075462,3366022.637183411,0
q_200m_03,5,s80_x254387.293_y3364387.454,0.9089505672454834,80,254387.29280875245,3364387.454095203,1
q_200m_03,6,s120_x254404.835_y3365175.528,0.9082070589065552,120,254404.83531152448,3365175.5278006354,0
q_200m_03,7,s120_x254467.293_y3364137.454,0.907400369644165,120,254467.29280875245,3364137.454095203,0
q_200m_03,8,s120_x254649.058_y3364554.565,0.9062889814376831,120,254649.0576404855,3364554.5652137767,0
q_200m_03,9,s120_x254676.545_y3365952.637,0.9061549305915833,120,254676.5454075462,3365952.637183411,0
q_200m_03,10,s80_x254447.293_y3364387.454,0.9056441783905029,80,254447.29280875245,3364387.454095203,0
q_200m_04,1,s120_x254739.058_y3364464.565,0.9344490170478821,120,254739.0576404855,3364464.5652137767,1
q_200m_04,2,s120_x254467.293_y3364137.454,0.9248495101928711,120,254467.29280875245,3364137.454095203,0
q_200m_04,3,s120_x254739.058_y3364554.565,0.9237610697746277,120,254739.0576404855,3364554.5652137767,0
q_200m_04,4,s120_x254467.293_y3364047.454,0.9218406677246094,120,254467.29280875245,3364047.454095203,0
q_200m_04,5,s200_x254689.058_y3364504.565,0.9185923337936401,200,254689.0576404855,3364504.5652137767,1
q_200m_04,6,s80_x254387.293_y3364387.454,0.9154788255691528,80,254387.29280875245,3364387.454095203,0
q_200m_04,7,s120_x254919.058_y3364824.565,0.9102134108543396,120,254919.0576404855,3364824.5652137767,0
q_200m_04,8,s80_x254447.293_y3364387.454,0.9086112976074219,80,254447.29280875245,3364387.454095203,0
q_200m_04,9,s120_x254856.545_y3366042.637,0.9069523811340332,120,254856.5454075462,3366042.637183411,0
q_200m_04,10,s200_x254716.545_y3366022.637,0.9052838087081909,200,254716.5454075462,3366022.637183411,0
q_200m_05,1,s200_x254689.058_y3364504.565,0.9425244331359863,200,254689.0576404855,3364504.5652137767,0
q_200m_05,2,s120_x254467.293_y3364137.454,0.9366105794906616,120,254467.29280875245,3364137.454095203,0
q_200m_05,3,s120_x254739.058_y3364464.565,0.9352840781211853,120,254739.0576404855,3364464.5652137767,0
q_200m_05,4,s120_x254739.058_y3364554.565,0.9275102615356445,120,254739.0576404855,3364554.5652137767,0
q_200m_05,5,s120_x254404.835_y3365175.528,0.9251587986946106,120,254404.83531152448,3365175.5278006354,0
q_200m_05,6,s200_x254447.293_y3364207.454,0.9247491359710693,200,254447.29280875245,3364207.454095203,1
q_200m_05,7,s200_x254447.293_y3364057.454,0.9239010810852051,200,254447.29280875245,3364057.454095203,0
q_200m_05,8,s80_x254267.293_y3364147.454,0.9234727621078491,80,254267.29280875245,3364147.454095203,0
q_200m_05,9,s200_x254716.545_y3366022.637,0.9223887324333191,200,254716.5454075462,3366022.637183411,0
q_200m_05,10,s120_x254829.058_y3364644.565,0.9216189384460449,120,254829.0576404855,3364644.5652137767,0
