method,flight_id,query_count,recall@1,recall@5,recall@10,mrr,top1_error_m_mean,feature_ms_mean,retrieval_ms_mean,total_ms_mean
pooler,DJI_202510311347_009_新建面状航线1,5,0.6,1.0,1.0,0.75,353.16195126963123,3385.160572407767,0.9913600515574217,3386.1548523884267
pooler,DJI_202510311413_010_新建面状航线1,5,0.4,0.8,1.0,0.528888888888889,654.2659450963899,2109.0809139888734,1.2424299959093332,2110.3263840079308
pooler,DJI_202510311435_011_新建面状航线1,5,0.6,0.8,1.0,0.6599999999999999,237.06463003569493,2208.8870886247605,1.495346985757351,2210.3849958628416
pooler,DJI_202510311500_012_新建面状航线1,5,0.4,0.6,0.6,0.4666666666666667,236.32744067376916,2577.5370889808983,1.2224027886986732,2578.762731794268
cls,DJI_202510311347_009_新建面状航线1,5,0.6,1.0,1.0,0.75,353.16195126963123,1964.774676784873,1.108094584196806,1965.8860915340483
cls,DJI_202510311413_010_新建面状航线1,5,0.4,0.8,1.0,0.528888888888889,654.2659450963899,1976.6571794170886,0.960472458973527,1977.6209319010377
cls,DJI_202510311435_011_新建面状航线1,5,0.6,0.8,1.0,0.6599999999999999,237.06463003569493,2119.8797239921987,1.1564324144273996,2121.0384564008564
cls,DJI_202510311500_012_新建面状航线1,5,0.4,0.6,0.6,0.4666666666666667,236.32744067376916,2105.721799330786,1.383058214560151,2107.107238098979
mean,DJI_202510311347_009_新建面状航线1,5,0.6,0.8,1.0,0.6685714285714285,207.42937508633872,1985.8250030316412,1.368326973170042,1987.1961103286594
mean,DJI_202510311413_010_新建面状航线1,5,0.4,1.0,1.0,0.64,211.91996394566863,1938.6723937932402,1.0783844627439976,1939.754158584401
mean,DJI_202510311435_011_新建面状航线1,5,0.2,0.2,0.8,0.2819047619047619,311.6954303990913,1886.8817019741982,1.181639777496457,1888.0658017471433
mean,DJI_202510311500_012_新建面状航线1,5,0.2,0.4,0.6,0.2733333333333333,466.346288895428,1931.5530008170754,1.085004210472107,1932.641005050391
gem,DJI_202510311347_009_新建面状航线1,5,0.6,0.6,1.0,0.6571428571428571,177.6244148524358,1956.3571109436452,1.0453972965478897,1957.4048888403922
gem,DJI_202510311413_010_新建面状航线1,5,0.4,0.6,1.0,0.5555555555555556,211.91996394566863,1965.4099124018103,1.1285622138530016,1966.5407548192888
gem,DJI_202510311435_011_新建面状航线1,5,0.2,0.4,0.8,0.36666666666666664,370.61315764643666,1852.927886787802,1.244137855246663,1854.174284869805
gem,DJI_202510311500_012_新建面状航线1,5,0.2,0.6,0.8,0.375,408.49683918233444,1855.9829350560904,1.0260691866278648,1857.0115245413035
